,movie,year,imdb,metascore,votes
490, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
491, Doctor Sleep,2019,7.3,59,217K
492, Dark Phoenix,2019,5.7,43,204K
493, Godzilla: King of the Monsters,2019,6.0,48,204K
494, Zombieland: Double Tap,2019,6.7,55,201K
495, 6 Underground,2019,6.1,41,196K
496, Rocketman,2019,7.3,69,194K
497, Frozen II,2019,6.8,64,193K
498,Joker,2019,8.4,59,1.5M
499,Avengers: Endgame,2019,8.4,78,1.3M
500,Parasite,2019,8.5,97,949K
501,Once Upon a Time... in Hollywood,2019,7.6,84,841K
502,Knives Out,2019,7.9,82,770K
503,1917,2019,8.2,78,670K
504,Captain Marvel,2019,6.8,64,608K
505, Spider-Man: Far from Home,2019,7.4,69,553K
506, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
507, Ford v Ferrari,2019,8.1,81,465K
508, Jojo Rabbit,2019,7.9,58,439K
509, The Irishman,2019,7.8,94,429K
510, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
511, Midsommar,2019,7.1,72,399K
512, The Gentlemen,2019,7.8,51,391K
513, Shazam!,2019,7.0,71,383K
514, Marriage Story,2019,7.9,94,345K
515, Us,2019,6.8,81,339K
516, Uncut Gems,2019,7.4,93,316K
517, It Chapter Two,2019,6.5,58,300K
518, Alita: Battle Angel,2019,7.3,53,292K
519, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
520, Aladdin,2019,6.9,53,289K
521, Jumanji: The Next Level,2019,6.7,58,281K
522, Toy Story 4,2019,7.7,84,279K
523, El hoyo,2019,7.0,73,270K
524, The Lion King,2019,6.8,55,266K
525, Glass,2019,6.6,43,266K
526, Ad Astra,2019,6.5,80,259K
527, The Lighthouse,2019,7.4,83,253K
528, Little Women,2019,7.8,91,243K
529, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
530, Doctor Sleep,2019,7.3,59,217K
531, Dark Phoenix,2019,5.7,43,204K
532, Godzilla: King of the Monsters,2019,6.0,48,204K
533, Zombieland: Double Tap,2019,6.7,55,201K
534, 6 Underground,2019,6.1,41,196K
535, Rocketman,2019,7.3,69,194K
536, Frozen II,2019,6.8,64,193K
537,Joker,2019,8.4,59,1.5M
538,Avengers: Endgame,2019,8.4,78,1.3M
539,Parasite,2019,8.5,97,949K
540,Once Upon a Time... in Hollywood,2019,7.6,84,841K
541,Knives Out,2019,7.9,82,770K
542,1917,2019,8.2,78,670K
543,Captain Marvel,2019,6.8,64,608K
544, Spider-Man: Far from Home,2019,7.4,69,553K
545, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
546, Ford v Ferrari,2019,8.1,81,465K
547, Jojo Rabbit,2019,7.9,58,439K
548, The Irishman,2019,7.8,94,429K
549, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
550, Midsommar,2019,7.1,72,399K
551, The Gentlemen,2019,7.8,51,391K
552, Shazam!,2019,7.0,71,383K
553, Marriage Story,2019,7.9,94,345K
554, Us,2019,6.8,81,339K
555, Uncut Gems,2019,7.4,93,316K
556, It Chapter Two,2019,6.5,58,300K
557, Alita: Battle Angel,2019,7.3,53,292K
558, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
559, Aladdin,2019,6.9,53,289K
560, Jumanji: The Next Level,2019,6.7,58,281K
561, Toy Story 4,2019,7.7,84,279K
562, El hoyo,2019,7.0,73,270K
563, The Lion King,2019,6.8,55,266K
564, Glass,2019,6.6,43,266K
565, Ad Astra,2019,6.5,80,259K
566, The Lighthouse,2019,7.4,83,253K
567, Little Women,2019,7.8,91,243K
568, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
569, Doctor Sleep,2019,7.3,59,217K
570, Dark Phoenix,2019,5.7,43,204K
571, Godzilla: King of the Monsters,2019,6.0,48,204K
572, Zombieland: Double Tap,2019,6.7,55,201K
573, 6 Underground,2019,6.1,41,196K
574, Rocketman,2019,7.3,69,194K
575, Frozen II,2019,6.8,64,193K
576,Joker,2019,8.4,59,1.5M
577,Avengers: Endgame,2019,8.4,78,1.3M
578,Parasite,2019,8.5,97,949K
579,Once Upon a Time... in Hollywood,2019,7.6,84,841K
580,Knives Out,2019,7.9,82,770K
581,1917,2019,8.2,78,670K
582,Captain Marvel,2019,6.8,64,608K
583, Spider-Man: Far from Home,2019,7.4,69,553K
584, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
585, Ford v Ferrari,2019,8.1,81,465K
586, Jojo Rabbit,2019,7.9,58,439K
587, The Irishman,2019,7.8,94,429K
588, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
589, Midsommar,2019,7.1,72,399K
590, The Gentlemen,2019,7.8,51,391K
591, Shazam!,2019,7.0,71,383K
592, Marriage Story,2019,7.9,94,345K
593, Us,2019,6.8,81,339K
594, Uncut Gems,2019,7.4,93,316K
595, It Chapter Two,2019,6.5,58,300K
596, Alita: Battle Angel,2019,7.3,53,292K
597, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
598, Aladdin,2019,6.9,53,289K
599, Jumanji: The Next Level,2019,6.7,58,281K
600, Toy Story 4,2019,7.7,84,279K
601, El hoyo,2019,7.0,73,270K
